AMTRAK,IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,CASINJRR,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,STATION,COUNTY,STATE,REGION,DUMMY2,CITY,HIGHWAY,VEHSPD,TYPVEH,VEHDIR,POSITION,RREQUIP,RRCAR,TYPACC,HAZARD,TEMP,VISIBLTY,WEATHER,TYPEQ,TYPTRK,TRKNAME,TRKCLAS,NBRLOCOS,NBRCARS,TRNSPD,TYPSPD,TRNDIR,SIGNAL,LOCWARN,WARNSIG,LIGHTS,STANDVEH,TRAIN2,MOTORIST,VIEW,VEHDMG,DRIVER,INVEH,TOTKLD,TOTINJ,TOTOCC,INCDRPT,JOINTCD,TYPRR,DUMMY3,CASKLDRR,DUMMY4,CROSSING,NARRLEN,DUMMY5,YEAR4,DIVISION,PUBLIC,CNTYCD,STCNTY,HZMRLSED,HZMNAME,HZMQNTY,HZMMEAS,SIGWARNX,WHISBAN,DRIVAGE,DRIVGEN,PLEONTRN,SSB1,SSB2,USERKLD,USERINJ,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,NARR1,NARR2,NARR3,NARR4,NARR5,combtxt,SUBDIV,ROADCOND,VIDEOT,VIDEOU
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111493,,,,,13,1,CSX,111493,,0,625013E,13,1,2,3,25,AM,HAWTHORNE,ALACHUA,12,3,,HAWTHORNE,S.E. 221ST STREET,0,E,2,1,1,1,1,4,55,4,2,1,1,SINGLE MAIN,4,2,55,25,E,1,1,1,2,2,2,2,4,8,10000,3,2,0,0,0,2,1,1L,,0,,20611,186,,2013,,Y,1,12C001,4,,,,,,,1,2,,,0,0,0,0,0,0,L21201 COLLIDED WITH A VEHICLE AT S.E. 221ST STREET CROSSING. AGE OF DRIVER IS UNKNOWN. PROTECTION A,LSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).,,,,L21201 COLLIDED WITH A VEHICLE AT S.E. 221ST STREET CROSSING. AGE OF DRIVER IS UNKNOWN. PROTECTION A LSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).   ,WILDWOOD,A,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111516,,,,,13,1,CSX,111516,,1,154278E,13,1,2,1,32,PM,INDIANAPOLIS,MARION,18,4,,INDIANAPOLIS,RITTER AVE,15,A,1,3,1,1,1,2,36,2,2,1,1,SINGLE MAIN,3,2,42,22,E,3,1,1,2,2,2,2,3,8,2000,2,1,0,1,1,2,1,1L,,0,,311,216,,2013,,Y,97,18C097,4,,,,,,65,2,2,,,0,1,0,0,0,0,THE DRIVER OF A 1993 BUICK SKYLARK AUTOMOBILE FAILED TO STOP FOR SIGNALED CROSSING AND WAS STRUCK BY, Q36002. THE DRIVER WAS TRANSPORTED TO HOSPITAL. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PA,VEMENT MARKINGS.,,,THE DRIVER OF A 1993 BUICK SKYLARK AUTOMOBILE FAILED TO STOP FOR SIGNALED CROSSING AND WAS STRUCK BY  Q36002. THE DRIVER WAS TRANSPORTED TO HOSPITAL. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PA VEMENT MARKINGS.  ,INDIANAPOLIS,C,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111521,,,,,13,1,CSX,111521,,0,050378U,13,1,2,3,36,PM,UNION CITY,FULTON,13,3,,UNION CITY,GRESHAM ST,0,E,4,1,1,1,1,4,48,2,2,1,1,SINGLE MAIN,4,2,47,45,E,2,1,1,1,2,2,2,5,8,3000,3,2,0,0,0,1,1,1L,,0,,1.02E+12,167,,2013,,Y,121,13C121,4,,,,,,41,2,3,,,0,0,0,0,0,0,A 1999 PLYMOUTH VOYAGER VAN STALLED ON A CROSSING AND WAS STRUCK BY Q67902. THE VEHICLE WAS UNOCCUPI,ED AT TIME OF IMPACT. PROTECTION ALSO AT CROSSING: ADVANCE WARNING.,,,,A 1999 PLYMOUTH VOYAGER VAN STALLED ON A CROSSING AND WAS STRUCK BY Q67902. THE VEHICLE WAS UNOCCUPI ED AT TIME OF IMPACT. PROTECTION ALSO AT CROSSING: ADVANCE WARNING.   ,AWP W OF A,A,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111612,,,,,13,1,CSX,111612,,1,633799T,13,1,3,6,51,PM,MCCORMICK,MCCORMICK,45,3,,MCCORMICK,MAIN ST,0,A,3,2,1,1,1,4,42,4,1,1,1,SINGLE MAIN,3,1,10,32,R,2,1,1,2,2,2,2,4,8,3000,2,1,0,1,1,2,1,1L,,0,,20306,236,,2013,,Y,65,45C065,4,,,,,,66,2,2,,,0,1,0,0,0,0,F78703 STRUCK A FEMALE DRIVER WHO FAILED TO STOP FOR THE RAILROAD SIGNAL AT THE DESIGNATED POINT AND, FRONT OF VEHICLE WAS FOULING TRACKS. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARK,INGS (STOP LINES & RR XING SYMBOLS).,,,F78703 STRUCK A FEMALE DRIVER WHO FAILED TO STOP FOR THE RAILROAD SIGNAL AT THE DESIGNATED POINT AND  FRONT OF VEHICLE WAS FOULING TRACKS. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARK INGS (STOP LINES & RR XING SYMBOLS).  ,MCCORMICK,A,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111653,,,,,13,1,CSX,111653,,1,622859U,13,1,4,8,37,PM,LAKELAND,POLK,12,3,,LAKELAND,PRIVATE DRIVE,20,D,3,3,1,1,1,4,65,4,2,1,1,SINGLE MAIN,4,2,130,45,E,1,,1,2,2,2,2,3,8,500,2,1,0,1,1,2,1,1L,,0,,7,96,,2013,,N,105,12C105,4,,,,,,50,1,2,,,0,1,0,0,0,0,Q60404 STRUCK LAWN TRAILER ATTACHED TO A PICKUP TRUCK THAT FAILED TO STOP AT A PRIVATE CROSSING.,,,,,Q60404 STRUCK LAWN TRAILER ATTACHED TO A PICKUP TRUCK THAT FAILED TO STOP AT A PRIVATE CROSSING.    ,VITIS,A,1,2
